line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.285885871879294E+07    3.000000  1.898976  4.104477  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2237  4.104477    0.000  1.673035  7.400182  0.7169511E+00  0.2686819E+00  1.5869822E-05  4.2301029E-06  3.4921649E-03  5.3875356E-03  1.7098529E-04  6.3282218E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.56E+02  0.00E+00  0.00E+00  0.000000  0.000698  0.0000000E+00  0.0000000000E+00
  2  0.972129409531984E+07    3.000000  1.898157  4.101130  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2274  4.101130    0.000  1.662302  7.397601  0.7088296E+00  0.2769020E+00  1.8823924E-05  5.0158159E-06  4.1851802E-03  4.5674057E-03  1.9561675E-04  7.1801029E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.53E+02  0.00E+00  0.00E+00  0.000000  0.000697  0.0000000E+00  0.0000000000E+00
  3  0.164361502164376E+08    3.000000  1.900368  4.098784  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2256  4.098784    0.000  1.655610  7.396040  0.7007895E+00  0.2850206E+00  2.1097456E-05  5.6204181E-06  4.7214491E-03  3.9657269E-03  1.7969769E-04  6.5565489E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.50E+02  0.00E+00  0.00E+00  0.000000  0.000701  0.0000000E+00  0.0000000000E+00
  4  0.231510063375553E+08    3.000000  1.903228  4.096932  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2240  4.096932    0.000  1.651126  7.395136  0.6926276E+00  0.2932461E+00  2.2946545E-05  6.1123063E-06  5.1545620E-03  3.4838782E-03  1.6247161E-04  5.9077719E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.47E+02  0.00E+00  0.00E+00  0.000000  0.000705  0.0000000E+00  0.0000000000E+00
  5  0.295972682138283E+08    3.000000  1.906229  4.095520  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2220  4.095520    0.000  1.648019  7.394937  0.6846762E+00  0.3012487E+00  2.4465557E-05  6.5167452E-06  5.5018217E-03  3.0994040E-03  1.4661903E-04  5.3273110E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.45E+02  0.00E+00  0.00E+00  0.000000  0.000710  0.0000000E+00  0.0000000000E+00
  6  0.359859741804917E+08    3.000000  1.909473  4.094152  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2204  4.094152    0.000  1.645530  7.394686  0.6766179E+00  0.3093510E+00  2.5760438E-05  6.8614573E-06  5.7992099E-03  2.7716214E-03  1.3148628E-04  4.7729080E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.42E+02  0.00E+00  0.00E+00  0.000000  0.000715  0.0000000E+00  0.0000000000E+00
  7  0.422020124183264E+08    3.000000  1.912669  4.092906  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2188  4.092906    0.000  1.643387  7.394633  0.6686124E+00  0.3173937E+00  2.6869036E-05  7.1566911E-06  6.0511934E-03  2.4939294E-03  1.1859558E-04  4.3040907E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.40E+02  0.00E+00  0.00E+00  0.000000  0.000721  0.0000000E+00  0.0000000000E+00
  8  0.484180506561612E+08    3.000000  1.915631  4.091568  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2170  4.091568    0.000  1.641291  7.394433  0.6605083E+00  0.3255304E+00  2.7825833E-05  7.4114046E-06  6.2714794E-03  2.2514894E-03  1.0700795E-04  3.8807605E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.38E+02  0.00E+00  0.00E+00  0.000000  0.000726  0.0000000E+00  0.0000000000E+00
